Section,SectionID,Attributs,Step,TEXTE,VISUEL,NomFichierSource,StyleFond,StepClasses,VisuelClasses,Notes
intro-titre,intro1,,,Ceci est l'amorce de l'article,,,#f9c8c9,,,
texte-classique,texte1,,,"Billets d’avion inutilisables, frais d’annulation d’hôtels, vacances gâchées : les voyageurs frustrés de ne pas avoir reçu leur passeport à temps pourraient-ils intenter une action collective contre le gouvernement fédéral pour se faire indemniser ? Des juristes consultés par Le Devoir estiment qu’un tel recours est possible, mais non sans embûches.",,,#000000,black-bkg,,
viz-section,vizSection1,côté-côté,scroll-normal,Bulle 1,Photo,2022-06-14_Scroller_Convoi_Segments-Photos-01_JN_V01.jpg,,no-pointer,,
viz-section,vizSection1,côté-côté,scroll-normal,Bulle 2,iframe,https://datawrapper.dwcdn.net/mqcnn/10/,,no-pointer,,
viz-section,vizSection1,côté-côté,scroll-normal,Bulle 3,Photo,2022-06-15_Scroller_Convoi_Segments-Photos-08_JN_V01.jpg,,no-pointer,,
texte-classique,texte1_2,,,Voici le texte ajouté à la section texte.,,,,,,
texte-classique,texte2,,,"En Biélorussie, manifester est devenu trop dangereux. Alors, la résistance au régime prend une forme souterraine. Un réseau de saboteurs antiguerre a mis à mal, au cours des cinq derniers mois, l’acheminement de matériel militaire russe transitant sur les chemins de fer biélorusses. Ceux qui se font mettre la main au collet risquent désormais la peine de mort.",,,,,,
viz-section,vizSection2,côté-côté,scroll-normal,[Cette bulle est invisible. Elle ne devrait pas apparaître dans l'article],Photo,2022-06-09_Scroller_Convoi_Image_Poilievre_V01.jpg,#000000,invisible,,
viz-section,vizSection2,côté-côté,scroll-normal,"Cette bulle sera visible, et devrait apparaître après l'image sans bulle.",Photo,2022-06-14_Scroller_Convoi_Segments-Photos-01_JN_V01.jpg,#000000,black-bkg,,
texte-classique,texte3,,,"Nadal, troisième joueur mondial, a expliqué qu’il a commencé à ressentir un léger inconfort au niveau des abdominaux à l’issue d’un entraînement, jeudi, et la douleur était toujours présente à son réveil, vendredi matin. Dans ces circonstances et après avoir consulté son médecin, il a préféré prendre quelques jours de plus de repos avant de reprendre la compétition.",,,,,,
viz-section,vizSection3,côté-côté,scroll-normal,"Montréal accueillera moins de nouveaux médecins de famille que prévu en 2023. Le Devoir a appris que le ministre de la Santé et des Services sociaux Christian Dubé a demandé que des « ajustements » soient apportés dans la répartition des postes entre les régions. Résultat : Montréal, la Côte-Nord et l’Abitibi-Témiscamingue perdent des médecins, au profit de Laval et de Lanaudière.",Video,2022-06-14_Scroller_Convoi_Segments-Video-01_V02.mp4,,,,
viz-section,vizSection3,côté-côté,scroll-normal,"La Chine a suspendu vendredi toute coopération avec les États-Unis sur le réchauffement climatique et d’autres domaines, faisant plonger les relations entre les deux pays à leur niveau le plus bas depuis des années, en représailles à la visite à Taiwan de la présidente de la Chambre des représentants américains, Nancy Pelosi.",,,,,,
texte-classique,texte4,,,"La Fonderie Horne, située à Rouyn-Noranda, a proposé en mai dernier d’abaisser ses émissions d’arsenic à un seuil 20 fois plus élevé que la norme provinciale.",,,,,,
texte-classique,texte5,,,"Elle a indiqué au gouvernement Legault qu’elle pourrait à l’avenir limiter ses émissions à 60 ng / m, alors que la limite québécoise est de 3 ng / m.",,,,,,
